Model,Fold,PR-AUC,ROC-AUC,Brier
Logistic Regression,1,0.12553154290654073,0.6147878933424036,0.07473461692197898
Logistic Regression,2,0.1386159133691765,0.633099029519388,0.07419756882096346
Logistic Regression,3,0.13443324070669008,0.6225540285029499,0.07674641015843456
Logistic Regression,4,0.13304970987431392,0.6237627523271829,0.0761321517685302
Logistic Regression,5,0.13441700068425333,0.6249222528406984,0.07463840728967665
Random Forest,1,0.1272221525644286,0.616032643941375,0.07464549884880234
Random Forest,2,0.13509457149411325,0.6310325109642573,0.07420956946570526
Random Forest,3,0.1361760800010606,0.6248886206640799,0.07670373796502124
Random Forest,4,0.13705362658226508,0.6259870583004716,0.07602377932734689
Random Forest,5,0.1344830739952811,0.6266972923283802,0.0746432716670653
LightGBM,1,0.12064339812567615,0.6032078107587213,0.0758330679694903
LightGBM,2,0.13167553586328393,0.6190576534529628,0.07467909075004621
LightGBM,3,0.13288150395535372,0.6159534833157058,0.07700485297275424
LightGBM,4,0.13713847456566003,0.6264667756376738,0.07606996582343975
LightGBM,5,0.13622669129231368,0.624864634151048,0.07467229144337063
