region,n,actual_fraud_cases,approval_not_flagged_rate,false_negative_rate,false_positives,false_negatives
Mombasa,2762,249,0.4826212889210717,0.30522088353413657,1256,76
Jinja,2713,235,0.5447843715444157,0.3617021276595745,1085,85
Kigali,2680,197,0.5164179104477612,0.350253807106599,1168,69
Nairobi,2610,233,0.5030651340996168,0.33476394849785407,1142,78
Mwanza,2467,195,0.5184434535873531,0.38461538461538464,1068,75
Arusha,2427,197,0.5533580552121962,0.350253807106599,956,69
Dar es Salaam,2402,202,0.5216486261448793,0.29207920792079206,1006,59
Eldoret,2395,200,0.5156576200417536,0.28,1016,56
Kampala,2345,201,0.5223880597014925,0.30845771144278605,981,62
Nakuru,2316,172,0.5466321243523317,0.3372093023255814,936,58
